序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
30,301230,泓博医药,65.76,16.1,9.12,393539.0,2355982419.09,27.26,67.97,52.53,56.08,56.64,2.37,31.33,198.11,9.07,9179215145.0,8260496981.0,0.09,-1.26,100.55,120.89
31,300816,艾可蓝,80.07,16.04,11.07,186397.0,1481110902.79,19.0,82.8,69.69,71.99,69.0,4.11,32.89,64.85,7.05,6405600000.0,4537452480.0,0.01,0.14,120.34,66.29
32,688419,耐科装备,39.15,15.9,5.37,109452.0,422580314.0,18.74,40.54,34.21,34.34,33.78,1.63,18.39,50.78,4.38,4484697841.0,2329798608.0,0.31,-0.31,37.66,39.87
33,300313,*ST天山,9.67,15.67,1.31,174628.0,161041033.22,17.7,9.85,8.37,8.37,8.36,4.45,8.85,-148.64,67.42,2318662872.0,1908401470.0,-0.1,0.0,17.21,20.42
34,300229,拓尔思,30.88,15.22,4.08,2549223.0,7264574337.07,17.8,31.0,26.23,26.23,26.8,2.19,29.2,-126.4,6.8,26977414380.0,26959173595.0,0.03,0.26,57.07,55.18
35,688109,品茗科技,148.02,15.19,19.52,65033.0,946759448.0,19.32,154.2,129.37,129.9,128.5,3.05,8.25,180.73,14.66,11670237246.0,11670237246.0,0.01,-0.58,12.56,16.46
36,300622,博士眼镜,37.25,14.93,4.84,664591.0,2458600480.11,17.62,38.89,33.18,33.2,32.41,3.86,42.66,72.48,10.01,8487567460.0,5802529462.0,0.11,0.11,26.27,19.93
37,688691,灿芯股份,138.12,14.82,17.83,136252.0,1798096193.0,16.21,140.5,121.0,121.0,120.29,1.41,19.07,-131.55,13.21,16574400000.0,9870747181.0,0.52,0.17,6.25,35.44
38,301257,普蕊斯,82.86,14.7,10.62,109372.0,870004408.31,15.23,85.0,74.0,75.0,72.24,5.3,14.52,56.19,5.23,6546335242.0,6240924800.0,0.11,0.28,90.7,59.22
39,920088,科力股份,42.81,14.56,5.44,125101.0,510096671.92,25.29,45.81,36.36,37.0,37.37,1.65,39.36,93.15,5.62,3770340915.0,1360557367.0,0.02,-0.28,25.54,46.61
40,300226,上海钢联,32.66,14.56,4.15,653368.0,2051789032.45,17.12,33.46,28.58,28.58,28.51,3.06,21.33,46.6,4.86,10409441643.0,10005575986.0,0.21,0.06,28.53,30.02
41,688603,天承科技,93.37,14.28,11.67,72254.0,635289694.0,15.25,93.46,81.0,81.0,81.7,1.56,15.24,145.55,9.99,11645528806.0,4427755446.0,0.33,1.47,41.04,24.56
42,688356,键凯科技,112.99,14.25,14.09,57678.0,652059613.0,16.87,118.68,102.0,102.98,98.9,2.07,9.51,126.21,5.28,6852922593.0,6852922593.0,-0.33,-0.01,26.83,37.46
43,300711,广哈通信,34.98,13.98,4.29,443618.0,1424044393.1,18.25,35.1,29.5,30.5,30.69,2.25,17.86,184.47,11.78,8715987798.0,8689969604.0,5.05,5.68,73.68,50.65
44,688568,中科星图,95.98,13.92,11.73,711211.0,6487500443.0,21.69,99.95,81.68,84.25,84.25,1.44,8.8,397.14,20.06,77559413974.0,77559413974.0,0.04,0.59,140.43,62.68
45,920790,联迪信息,45.12,13.48,5.36,94957.0,424634748.67,29.05,49.96,38.41,38.41,39.76,2.89,17.47,384.08,10.98,3562991942.0,2452224985.0,0.04,0.6,14.31,36.73
46,300634,彩讯股份,35.95,13.44,4.26,938417.0,3223309111.51,14.2,36.5,32.0,32.19,31.69,1.94,21.59,61.96,5.57,16221031855.0,15622917325.0,0.06,0.22,47.76,42.49
47,688277,天智航-U,24.95,13.25,2.92,605919.0,1446717304.0,21.61,26.26,21.5,21.81,22.03,2.6,13.29,-74.81,8.9,11377001248.0,11377001248.0,0.16,1.42,43.72,64.25
48,688368,晶丰明源,137.4,13.18,16.0,47163.0,618411251.0,15.49,139.8,121.0,122.3,121.4,1.97,5.33,390.87,10.37,12158592089.0,12158592089.0,-0.05,0.18,33.14,19.03
49,920394,民士达,57.42,13.17,6.68,85737.0,459144340.64,20.3,59.3,49.0,49.0,50.74,1.76,5.91,69.08,10.82,8397675000.0,8335822865.0,-0.12,-0.12,47.42,40.32
50,688719,爱科赛博,57.24,12.81,6.5,111648.0,616709465.0,18.33,59.8,50.5,50.5,50.74,1.52,12.44,-111.0,3.9,6604661326.0,5135704338.0,-0.07,1.24,42.18,29.65
51,301198,喜悦智行,15.45,12.77,1.75,196454.0,294478609.5,20.51,16.38,13.57,13.67,13.7,3.71,12.63,-420.55,2.86,2611050000.0,2403314862.0,0.78,1.18,33.19,23.01
52,301518,长华化学,44.6,12.77,5.05,124163.0,519049740.92,19.44,46.2,38.51,38.9,39.55,2.14,23.21,61.64,4.25,6251947898.0,2386039924.0,0.22,-0.87,32.23,25.39
53,300442,润泽科技,90.71,12.6,10.15,1271720.0,10986925249.5,15.7,93.13,80.48,80.48,80.56,1.26,7.81,23.64,10.95,148251305507.0,147709806538.0,0.8,1.44,97.93,71.8
54,300164,通源石油,8.08,12.53,0.9,2512438.0,1924777268.75,20.19,8.5,7.05,7.05,7.18,1.48,43.08,63.43,3.26,4754745722.0,4712343086.0,0.0,0.12,34.89,46.38
55,301228,实朴检测,42.5,12.52,4.73,89783.0,364542162.3,16.63,43.58,37.3,37.66,37.77,2.68,7.52,-96.14,7.39,5100000000.0,5076212495.0,-0.14,0.97,62.46,10.08
56,688339,亿华通-U,32.22,12.5,3.58,265392.0,848198901.0,17.0,33.5,28.63,28.63,28.64,4.23,13.56,-18.66,3.42,7749943650.0,6308260974.0,0.0,0.16,18.63,19.51
57,688631,莱斯信息,80.4,12.43,8.89,83996.0,654047741.0,17.84,84.5,71.74,72.1,71.51,1.94,12.95,-197.74,7.26,13142988000.0,5215548000.0,0.5,0.63,2.29,18.1
58,301200,大族数控,135.56,12.32,14.87,94163.0,1253576882.57,9.35,138.0,126.72,126.72,120.69,1.73,2.23,87.98,10.24,57682020645.0,57123103512.0,0.0,-0.02,41.12,14.14
59,920190,雷神科技,32.9,12.1,3.55,152837.0,500973449.05,20.14,35.44,29.53,29.53,29.35,2.53,15.37,123.1,3.83,3290000033.0,3271676378.0,-0.15,0.34,25.29,17.46
60,300212,易华录,23.22,11.96,2.48,939390.0,2123850474.81,14.75,24.0,20.94,21.0,20.74,2.61,13.45,-23.45,61.47,16715902039.0,16219442231.0,0.13,0.22,15.52,33.07
61,688679,通源环境,40.3,11.94,4.3,128525.0,481488608.0,19.44,41.0,34.0,37.5,36.0,1.68,9.76,-237.01,4.73,5307093903.0,5307093903.0,0.37,0.78,79.27,51.5
62,300987,川网传媒,26.75,11.92,2.85,491712.0,1231056272.5,16.86,26.75,22.72,23.05,23.9,2.61,28.36,401.14,5.85,4637594000.0,4637594000.0,0.22,1.52,58.0,59.23
63,300842,帝科股份,80.65,11.81,8.52,331924.0,2595897473.83,17.33,84.48,71.98,75.91,72.13,3.03,25.6,298.32,6.28,11716811273.0,10455662786.0,0.84,0.85,31.31,36.07
64,688630,芯碁微装,164.01,11.63,17.09,103371.0,1627126615.0,11.78,165.4,148.1,148.1,146.92,1.85,7.85,81.51,9.76,21606794831.0,21606794831.0,0.01,2.38,34.45,21.91
65,300063,天龙集团,17.43,11.59,1.81,3840936.0,6498942856.04,24.26,18.39,14.6,14.6,15.62,2.02,61.3,89.4,7.6,13221128225.0,10920843941.0,0.0,2.59,113.87,103.38
66,301468,博盈特焊,63.52,11.44,6.52,191816.0,1194408001.23,13.37,65.49,57.87,60.01,57.0,1.7,25.57,148.95,3.61,8264833467.0,4764165533.0,0.03,-0.7,90.98,21.5
67,688592,司南导航,53.78,11.32,5.47,85646.0,444036842.0,23.08,57.85,46.7,47.31,48.31,1.25,22.23,-142.45,4.68,4327171821.0,2071700952.0,0.06,0.54,19.38,30.85
68,688787,海天瑞声,183.66,11.3,18.64,108993.0,1977435593.0,24.26,198.02,157.99,157.99,165.02,1.89,18.07,1988.05,15.17,11079322559.0,11079322559.0,0.0,2.45,64.5,58.34
69,688265,南模生物,55.0,11.25,5.56,48713.0,258204334.0,21.8,58.78,48.0,49.0,49.44,2.43,6.25,120.16,2.52,4287993215.0,4287993215.0,-0.15,0.05,16.3,34.11
70,301031,中熔电气,119.9,11.15,12.03,63678.0,729725572.72,14.43,122.96,107.39,108.38,107.87,2.46,9.25,36.52,8.38,11788865352.0,8251239832.0,0.0,0.24,15.96,6.87
71,301093,华兰股份,69.6,11.13,6.97,169316.0,1126988258.36,19.02,71.91,60.0,62.61,62.63,2.19,10.79,160.76,5.26,11428433030.0,10922605774.0,0.12,0.27,88.67,36.2
72,688031,星环科技-U,214.5,11.04,21.32,137627.0,2926238902.0,20.34,229.29,190.0,195.0,193.18,0.97,14.65,-91.39,29.05,25983653982.0,20157110688.0,0.0,1.66,321.83,98.26
73,920953,国子软件,44.25,10.79,4.31,124239.0,538030777.52,15.97,46.33,39.95,39.95,39.94,2.02,20.75,126.16,10.0,5669132558.0,2649944570.0,0.05,0.36,21.13,23.78
74,920275,驱动力,10.39,10.65,1.0,112254.0,118073422.37,21.09,11.88,9.9,9.91,9.39,5.21,8.51,314.73,7.11,1655933264.0,1370591873.0,1.07,1.76,11.36,19.29
75,300844,山水比德,41.71,10.64,4.01,40708.0,166717066.91,15.09,43.38,37.69,37.7,37.7,2.0,4.52,-77.69,5.3,3887825805.0,3755563395.0,0.0,-0.29,-18.1,17.53
76,300248,新开普,15.9,10.57,1.52,813204.0,1251591395.98,11.68,15.98,14.3,14.33,14.38,2.24,19.88,-1357.25,3.57,7573939449.0,6504898433.0,0.19,0.76,32.17,28.12
77,300210,森远股份,11.19,10.57,1.07,654902.0,715549641.56,16.4,11.82,10.16,10.18,10.12,2.9,13.54,481.59,13.12,5418421274.0,5413229058.0,0.0,-0.27,22.03,25.87
78,688047,龙芯中科,163.85,10.49,15.55,196747.0,3203465473.0,14.8,172.51,150.56,150.78,148.3,2.49,4.91,-125.13,25.71,65703850000.0,65703850000.0,-0.06,0.03,21.45,24.03
79,301017,漱玉平民,21.45,10.4,2.02,597279.0,1155225831.65,28.82,23.01,17.41,17.56,19.43,1.68,24.54,59.75,4.38,8694987272.0,5220087272.0,-0.09,-0.33,93.77,45.42
80,301377,鼎泰高科,161.36,10.29,15.06,90257.0,1423426697.72,10.64,162.88,147.31,148.02,146.3,1.13,12.71,175.75,26.54,66157600000.0,11460432640.0,0.0,0.14,115.84,16.0
81,002310,东方新能,2.48,10.22,0.23,3222957.0,789008950.12,7.56,2.48,2.31,2.31,2.25,5.19,7.68,-5401.27,9.68,14878318850.0,10413643298.0,0.0,0.0,-5.7,10.22
82,301288,*ST清研,20.45,10.12,1.88,19732.0,39762997.95,13.62,21.31,18.78,18.78,18.57,3.52,2.53,-320.1,2.78,2208804500.0,1597341749.0,0.0,-0.24,26.47,13.93
83,601216,君正集团,5.67,10.1,0.52,5943024.0,3316634615.0,10.49,5.67,5.13,5.14,5.15,3.64,7.04,12.82,1.66,47843558601.0,47843558601.0,0.18,0.35,10.53,17.63
84,000981,山子高科,5.67,10.1,0.52,22965088.0,12848478677.31,11.26,5.67,5.09,5.1,5.15,1.24,24.14,97.33,33.67,56685659935.0,53940729047.0,0.0,0.0,36.3,36.3
85,002004,华邦健康,5.45,10.1,0.5,1723732.0,917301434.59,10.51,5.45,4.93,4.97,4.95,5.63,9.16,13.23,1.11,10790559591.0,10254825888.0,0.0,0.0,10.77,14.02
86,000875,吉电股份,6.77,10.08,0.62,2936586.0,1973908631.1,9.11,6.77,6.21,6.21,6.15,3.68,8.79,23.53,1.41,24556622138.0,22628080950.0,0.0,0.0,18.56,20.04
87,300597,吉大通信,11.16,10.06,1.02,556245.0,614612481.53,19.72,12.1,10.1,10.1,10.14,3.81,20.5,-80.88,3.22,3041881535.0,3028514176.0,0.54,1.0,23.59,20.78
88,002427,尤夫股份,7.33,10.06,0.67,344273.0,248844605.94,9.46,7.33,6.7,6.74,6.66,1.4,3.5,279.3,7.62,7223222255.0,7217891212.0,0.0,0.0,7.64,9.24
89,002429,兆驰股份,9.64,10.05,0.88,3709137.0,3549847138.2,6.74,9.64,9.05,9.05,8.76,2.12,8.2,32.72,2.66,43639707451.0,43614570294.0,0.0,0.0,62.02,29.92
90,000078,海王生物,4.49,10.05,0.41,7072312.0,3014638393.13,9.8,4.49,4.09,4.15,4.08,3.61,26.93,344.72,6.48,11813743424.0,11792720710.0,0.0,0.0,80.32,29.77
91,600133,东湖高新,10.62,10.05,0.97,1314143.0,1353518280.0,9.95,10.62,9.66,9.66,9.65,1.63,12.33,112.22,1.29,11323467473.0,11323467473.0,0.0,0.0,7.6,16.96
92,002400,省广集团,13.81,10.04,1.26,4230566.0,5583219378.19,12.91,13.81,12.19,12.5,12.55,1.32,24.51,187.9,4.84,24075485738.0,23838333375.0,0.0,0.0,77.73,55.69
93,600662,外服控股,6.25,10.04,0.57,758969.0,458587426.0,9.33,6.25,5.72,5.77,5.68,4.14,3.33,20.54,2.83,14271608594.0,14227944450.0,0.0,0.0,17.7,24.5
94,600986,浙文互联,12.39,10.04,1.13,2044983.0,2505153546.0,6.75,12.39,11.63,11.82,11.26,1.23,13.75,109.15,3.53,18428564628.0,18428564628.0,0.0,0.0,52.77,58.44
95,605136,丽人丽妆,13.26,10.04,1.21,278080.0,360103565.0,10.62,13.26,11.98,12.02,12.05,0.91,6.94,-109.13,2.17,5310079710.0,5310079710.0,0.0,0.0,34.62,21.1
96,600076,康欣新材,4.06,10.03,0.37,438452.0,174900491.0,8.94,4.06,3.73,3.73,3.69,0.87,3.26,-21.61,1.43,5458846070.0,5458846070.0,0.0,0.0,47.1,20.47
97,002969,嘉美包装,19.31,10.03,1.76,578250.0,1104018998.13,7.46,19.31,18.0,18.85,17.55,0.43,5.79,371.73,7.46,19409110313.0,19290706259.0,0.0,0.0,429.04,52.53
98,002879,长缆科技,20.76,10.02,1.89,144887.0,300786137.4,0.05,20.76,20.75,20.76,18.87,1.28,10.51,89.89,2.28,4008914606.0,2862471944.0,0.0,0.0,18.63,11.79
99,001360,南矿集团,25.25,10.02,2.3,93958.0,227192628.86,12.72,25.25,22.33,22.34,22.95,0.82,11.49,68.65,3.63,5151000000.0,2064973937.0,0.0,0.0,55.96,17.17
100,002201,九鼎新材,12.52,10.02,1.14,722896.0,878891237.55,11.16,12.52,11.25,11.26,11.38,0.65,12.01,81.01,7.05,8158485737.0,7537333218.0,0.0,0.0,53.81,9.73
101,603918,金桥信息,22.17,10.02,2.02,941321.0,2055820782.0,10.87,22.17,19.98,19.99,20.15,1.89,25.78,-101.88,8.08,8100958482.0,8094433851.0,0.0,0.09,36.01,41.3
102,000409,云鼎科技,13.07,10.02,1.19,238600.0,310834764.5,5.64,13.07,12.4,12.4,11.88,1.02,4.07,131.17,5.63,8861335900.0,7667845060.0,0.0,0.0,18.71,17.32
103,603687,大胜达,11.42,10.02,1.04,392682.0,428749140.0,10.4,11.42,10.34,10.4,10.38,1.49,7.14,51.81,1.93,6281363887.0,6281363887.0,0.0,0.35,28.17,19.83
104,600556,天下秀,9.33,10.02,0.85,4628310.0,4202613550.0,11.32,9.33,8.37,8.37,8.48,1.52,25.6,354.77,4.38,16866285500.0,16866285500.0,0.0,0.0,59.49,53.71
105,603163,圣晖集成,79.48,10.01,7.23,60114.0,468685371.0,10.7,79.48,71.75,72.25,72.25,1.12,6.01,62.32,7.14,7948000000.0,7948000000.0,0.0,0.0,83.51,15.86
106,605287,德才股份,33.84,10.01,3.08,87197.0,284512159.0,9.62,33.84,30.88,30.88,30.76,1.51,6.23,72.41,3.05,4737600000.0,4737600000.0,0.0,0.0,31.57,30.56
107,603000,人民网,28.03,10.01,2.55,1096984.0,2987301185.0,9.54,28.03,25.6,25.88,25.48,3.96,9.92,690.93,8.44,30992520300.0,30992520300.0,0.0,0.0,46.37,47.14
108,601116,三江购物,20.88,10.01,1.9,61790.0,129016747.0,0.0,20.88,20.88,20.88,18.98,0.16,1.13,74.91,3.56,11435524992.0,11435524992.0,0.0,0.0,43.11,51.63
109,605222,起帆电缆,21.43,10.01,1.95,266224.0,561365281.0,10.16,21.43,19.45,19.52,19.48,2.77,6.45,29.7,1.9,8848476338.0,8848476338.0,0.0,0.0,15.28,16.53
110,603829,洛凯股份,26.49,10.01,2.41,196995.0,503134478.0,10.13,26.49,24.05,24.32,24.08,1.51,10.58,51.81,3.29,4934190552.0,4934190552.0,0.0,0.0,38.04,19.16
111,605118,力鼎光电,36.17,10.01,3.29,100059.0,358888111.0,10.86,36.17,32.6,32.6,32.88,3.3,2.46,51.59,10.01,14854440280.0,14725385720.0,0.0,0.0,31.62,20.13
112,002574,明牌珠宝,7.69,10.01,0.7,902758.0,653356599.63,14.74,7.69,6.66,6.78,6.99,3.98,17.1,-28.38,1.36,4060320000.0,4060320000.0,0.0,0.0,31.23,36.83
113,002195,岩山科技,13.19,10.01,1.2,19308689.0,25019458040.42,11.76,13.19,11.78,11.78,11.99,1.38,34.47,307.27,7.49,74794616440.0,73880641981.0,0.0,0.0,79.7,86.04
114,002112,三变科技,19.23,10.01,1.75,122320.0,235220417.73,0.0,19.23,19.23,19.23,17.48,0.18,4.67,105.64,6.5,5656144553.0,5039789747.0,0.0,0.0,47.92,45.02
115,002264,新 华 都,10.99,10.01,1.0,953246.0,1033028592.14,9.41,10.99,10.05,10.05,9.99,0.85,14.56,33.34,3.96,7910726187.0,7196063082.0,0.0,0.0,63.3,24.46
116,002194,武汉凡谷,15.16,10.01,1.38,1505010.0,2232406554.16,9.58,15.16,13.84,14.11,13.78,2.88,29.46,-758.81,4.17,10358612819.0,7745149629.0,0.0,0.0,15.81,16.17
117,603353,和顺石油,30.54,10.01,2.78,118936.0,343820876.0,12.07,30.54,27.19,27.72,27.76,1.32,6.98,180.57,3.18,5250009240.0,5204565720.0,0.0,0.0,73.03,11.75
118,600410,华胜天成,22.2,10.01,2.02,3419099.0,7313344708.0,11.65,22.2,19.85,19.85,20.18,1.3,31.18,50.95,5.13,24342181963.0,24342181963.0,0.0,0.0,24.02,24.16
119,600589,大位科技,10.88,10.01,0.99,3879772.0,4044430390.0,13.14,10.88,9.58,9.58,9.89,0.92,26.24,318.54,22.71,16153208403.0,16085752403.0,0.0,0.0,55.65,51.96
120,600588,用友网络,19.01,10.01,1.73,3472443.0,6447853752.0,7.99,19.01,17.63,17.65,17.28,2.13,10.16,-34.84,8.77,64957120745.0,64957120745.0,0.0,0.0,32.29,43.36
121,600198,大唐电信,11.43,10.01,1.04,800303.0,904142773.0,10.2,11.43,10.37,10.38,10.39,0.69,6.15,-225.4,54.34,14900188474.0,14881286260.0,0.0,0.0,46.16,18.45
122,601106,中国一重,6.6,10.0,0.6,8578926.0,5460091013.0,15.0,6.6,5.7,5.71,6.0,2.08,12.51,-431.89,8.58,45261367318.0,45261367318.0,0.0,0.0,114.29,65.41
123,600734,实达集团,5.39,10.0,0.49,4867479.0,2557603807.0,11.02,5.39,4.85,4.85,4.9,1.63,22.35,-100.56,37.83,11741053741.0,11738628241.0,0.0,0.0,56.23,17.17
124,001255,博菲电气,45.63,10.0,4.15,92153.0,414497245.85,6.32,45.63,43.01,43.43,41.48,1.69,12.97,410.63,4.5,3944721896.0,3242285280.0,0.0,0.0,42.24,42.46
125,603888,新华网,29.6,10.0,2.69,788647.0,2256984517.0,14.94,29.6,25.58,26.07,26.91,2.5,11.69,73.63,5.43,19972249773.0,19972249773.0,0.0,0.0,55.54,52.34
126,605255,天普股份,194.26,10.0,17.66,66609.0,1196719344.0,19.97,194.26,158.99,158.99,176.6,3.49,4.97,1094.34,32.28,26046380800.0,26046380800.0,0.0,0.0,126.6,-10.9
127,000591,太阳能,5.06,10.0,0.46,4025922.0,1994337782.89,8.48,5.06,4.67,4.67,4.6,6.88,10.26,13.23,0.82,19857679015.0,19853120855.0,0.0,0.0,11.95,15.53
128,603179,新泉股份,91.96,10.0,8.36,90953.0,832447367.0,3.59,91.96,88.96,90.0,83.6,0.42,1.78,56.51,6.55,46912648480.0,46912648480.0,0.0,0.0,33.49,24.47
129,603778,国晟科技,27.72,10.0,2.52,702452.0,1897288684.0,14.72,27.72,24.01,25.58,25.2,0.93,10.93,-90.38,25.02,18202119566.0,17819999976.0,0.0,0.0,541.67,57.5
130,001228,永泰运,29.36,10.0,2.67,53250.0,153271452.0,10.34,29.36,26.6,26.67,26.69,2.5,6.67,23.95,1.81,3049464920.0,2344824920.0,0.0,0.0,13.4,11.89
131,002281,光迅科技,77.12,10.0,7.01,844282.0,6271063143.59,10.57,77.12,69.71,70.17,70.11,1.87,10.83,64.9,6.36,62210833994.0,60113293926.0,0.0,0.0,29.9,10.25
132,603988,中电电机,27.71,10.0,2.52,181165.0,481157546.0,10.16,27.71,25.15,25.68,25.19,3.19,7.7,124.65,9.71,6517392000.0,6517392000.0,0.0,0.0,-6.07,14.03
133,002181,粤 传 媒,11.55,10.0,1.05,1841391.0,2055081129.76,11.9,11.55,10.3,10.39,10.5,1.9,16.23,86.49,3.15,13410221910.0,13103708091.0,0.0,0.0,33.53,33.99
134,002219,新里程,2.75,10.0,0.25,731003.0,201025767.25,0.0,2.75,2.75,2.75,2.5,0.75,2.23,-181.62,4.73,9315299821.0,8998120230.0,0.0,0.0,16.53,29.11
135,002290,禾盛新材,59.17,10.0,5.38,121678.0,695358130.82,10.95,59.17,53.28,53.6,53.79,2.02,4.92,76.42,15.47,14680806566.0,14638093222.0,0.0,0.0,52.93,29.47
136,001400,江顺科技,120.48,10.0,10.95,50892.0,593503731.12,14.13,120.48,105.0,105.0,109.53,1.13,33.93,82.83,5.88,7228800000.0,1807200000.0,0.0,0.0,88.93,54.94
