code,name,price,change,open,high,low,vol,timestamp
sh600519,贵州茅台,1390.99,-0.5,1396.02,1402.83,1388.58,2350960.0,2026-01-15T11:29:19.654736
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:30:19.696697
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:30:19.696697
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:30:19.696697
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:31:19.735337
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:31:19.735337
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:31:19.735337
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:32:19.791230
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:32:19.791230
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:32:19.791230
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:33:19.827105
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:33:19.827105
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:33:19.827105
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:34:19.864793
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:34:19.864793
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:34:19.864793
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:36:10.470507
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:36:10.470507
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:36:10.470507
