排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
293,垃圾分类,BK0873,1728.76,4.97,0.29,940022736000,3.44,34,59,森远股份,10.57
294,3D打印,BK0619,8237.53,23.89,0.29,976941552000,6.7,34,38,三友医疗,16.63
295,固态电池,BK0968,2513.1,6.72,0.27,7507925504000,4.1,112,102,明冠新材,9.77
296,氢能源,BK0864,1585.18,4.12,0.26,5791177216000,2.85,120,119,吉电股份,10.08
297,锂电池,BK0574,4417.18,11.64,0.26,10902186240000,4.73,197,194,科大国创,20.01
298,央国企改革,BK0683,5361.36,13.85,0.26,53956112896000,2.15,572,798,三变科技,10.01
299,一带一路,BK0712,1753.8,4.56,0.26,17250584320000,2.14,212,275,南矿集团,10.02
300,粤港自贸,BK0677,3569.77,8.79,0.25,1115152256000,3.14,31,42,粤 传 媒,10.0
301,小米汽车,BK1155,1840.45,4.64,0.25,4648650240000,4.61,39,57,浙文互联,10.04
302,新能源车,BK0900,2658.22,6.6,0.25,15842500096000,4.77,279,352,利欧股份,9.97
303,燃料电池,BK0682,4554.92,11.02,0.24,3208453968000,3.85,65,73,天普股份,10.0
304,无线充电,BK0960,3485.01,8.28,0.24,2243916768000,5.6,19,19,科陆电子,4.54
305,HIT电池,BK0908,2984.53,7.09,0.24,814000560000,4.82,20,17,帝科股份,11.81
306,户外露营,BK1079,1556.44,3.7,0.24,156275905000,4.39,17,10,天府文旅,3.47
307,太阳能,BK0588,4163.3,9.91,0.24,9510296320000,3.79,184,226,拓日新能,9.94
308,净水概念,BK1068,1280.22,2.91,0.23,1148174080000,1.45,9,11,*ST凯鑫,2.39
309,婴童概念,BK0664,1962.0,4.56,0.23,1412869936000,5.14,79,69,华邦健康,10.1
310,化工原料,BK0512,27981.29,61.65,0.22,1563856304000,3.09,36,40,博菲电气,10.0
311,PPP模式,BK0721,868.82,1.91,0.22,2466279328000,2.53,54,88,东湖高新,10.05
312,基金重仓,BK0536,14140.2,30.56,0.22,5753837312000,4.0,47,45,英科医疗,8.37
313,宁组合,BK1000,677.88,1.39,0.21,5220661504000,2.43,12,11,阳光电源,3.23
314,建筑节能,BK1076,1181.37,2.23,0.19,259914600000,4.04,22,24,绿岛风,20.0
315,环氧丙烷,BK1011,659.23,1.21,0.18,556017904000,1.99,10,10,卫星化学,4.29
316,发电机概念,BK1014,1914.37,3.19,0.17,180274003000,4.31,8,12,中坚科技,5.2
317,免疫治疗,BK0698,1732.03,2.91,0.17,534092096000,4.7,19,25,华邦健康,10.1
318,新能源,BK0493,18786.59,32.46,0.17,6985344000000,3.49,87,123,拓日新能,9.94
319,特斯拉,BK0644,7305.49,11.31,0.16,6785005056000,4.85,82,124,新泉股份,10.0
320,深证100R,BK0743,1379.88,2.25,0.16,16548352256000,2.51,44,54,润泽科技,12.6
321,参股保险,BK0604,2999.66,4.8,0.16,6625053440000,1.25,28,48,利欧股份,9.97
322,ST股,BK0511,7493.68,10.23,0.14,826027632000,2.11,72,95,*ST天山,15.67
323,病毒防治,BK0675,3039.63,3.8,0.13,1582691504000,4.47,52,62,华邦健康,10.1
324,上海自贸,BK0643,4027.61,5.17,0.13,1048572864000,2.42,14,20,交运股份,9.85
325,地下管网,BK1058,1292.75,1.65,0.13,419477792000,2.91,22,26,数字政通,4.69
326,MSCI中国,BK0821,1537.55,1.98,0.13,79711289344000,1.64,207,332,新泉股份,10.0
327,啤酒概念,BK1073,1312.85,1.74,0.13,270221680000,2.94,4,15,嘉美包装,10.03
328,电子烟,BK0865,2563.92,2.86,0.11,1383354368000,5.31,29,22,科森科技,6.31
329,辅助生殖,BK0939,1185.77,1.15,0.1,628543408000,6.07,22,32,国际医学,9.95
330,冷链物流,BK0852,2364.36,2.37,0.1,1943851264000,4.55,35,76,德邦股份,9.97
331,稀缺资源,BK0519,33942.02,24.25,0.07,5209566208000,2.94,35,42,锡业股份,8.61
332,标准普尔,BK0879,1851.47,1.25,0.07,67996740608000,2.13,381,638,三维通信,9.99
333,乳业,BK0892,1203.82,0.87,0.07,463344288000,2.43,14,17,贝因美,2.44
334,汽车一体化压铸,BK1093,1469.95,1.09,0.07,413269344000,4.69,11,18,万丰奥威,6.26
335,体外诊断,BK0841,1527.14,0.84,0.06,958750464000,5.71,35,32,科瑞技术,5.85
336,纳米银,BK0855,2624.85,1.03,0.04,96608731000,6.56,5,2,有棵树,4.54
337,海洋经济,BK0623,3737.02,1.58,0.04,2057634992000,5.05,42,56,三维通信,9.99
338,氦气概念,BK0949,2539.03,0.78,0.03,214908746000,12.54,6,8,洲际油气,4.75
339,转基因,BK0907,1625.83,0.51,0.03,163558803000,2.96,4,13,托普云农,4.23
340,2025三季报扭亏,BK1628,1021.52,0.23,0.02,138056687000,2.48,2,8,博腾股份,7.3
341,被动元件,BK0976,1814.45,0.39,0.02,560888768000,6.58,11,16,铜峰电子,4.47
342,人形机器人,BK1184,1929.77,0.36,0.02,5614880512000,5.42,93,124,本川智能,16.87
343,磷化工,BK1010,1002.23,0.15,0.01,1281310368000,2.75,22,23,清水源,4.64
344,装配建筑,BK0945,1180.67,0.02,0.0,1469200768000,2.75,41,50,康欣新材,10.03
345,创新药,BK1106,1622.83,-0.08,0.0,3786264656000,3.94,50,108,海王生物,10.05
346,B股,BK0636,952.39,-0.11,-0.01,686773424000,0.33,24,40,金煤B股,4.62
